Page URL,Full URL,Google Search Link,Bing Search Link,Google Indexed?,Bing Indexed?,Google Position,Bing Position,Notes,Last Checked
"/","https://vibetrans.com/","https://www.google.com/search?q=site:vibetrans.com%2F","https://www.bing.com/search?q=site:vibetrans.com%2F",,,,,,,""
"/about","https://vibetrans.com/about","https://www.google.com/search?q=site:vibetrans.com%2Fabout","https://www.bing.com/search?q=site:vibetrans.com%2Fabout",,,,,,,""
"/privacy","https://vibetrans.com/privacy","https://www.google.com/search?q=site:vibetrans.com%2Fprivacy","https://www.bing.com/search?q=site:vibetrans.com%2Fprivacy",,,,,,,""
"/terms","https://vibetrans.com/terms","https://www.google.com/search?q=site:vibetrans.com%2Fterms","https://www.bing.com/search?q=site:vibetrans.com%2Fterms",,,,,,,""
"/albanian-to-english","https://vibetrans.com/albanian-to-english","https://www.google.com/search?q=site:vibetrans.com%2Falbanian-to-english","https://www.bing.com/search?q=site:vibetrans.com%2Falbanian-to-english",,,,,,,""
"/al-bhed-translator","https://vibetrans.com/al-bhed-translator","https://www.google.com/search?q=site:vibetrans.com%2Fal-bhed-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fal-bhed-translator",,,,,,,""
"/alien-text-generator","https://vibetrans.com/alien-text-generator","https://www.google.com/search?q=site:vibetrans.com%2Falien-text-generator","https://www.bing.com/search?q=site:vibetrans.com%2Falien-text-generator",,,,,,,""
"/ancient-greek-translator","https://vibetrans.com/ancient-greek-translator","https://www.google.com/search?q=site:vibetrans.com%2Fancient-greek-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fancient-greek-translator",,,,,,,""
"/aramaic-translator","https://vibetrans.com/aramaic-translator","https://www.google.com/search?q=site:vibetrans.com%2Faramaic-translator","https://www.bing.com/search?q=site:vibetrans.com%2Faramaic-translator",,,,,,,""
"/baby-translator","https://vibetrans.com/baby-translator","https://www.google.com/search?q=site:vibetrans.com%2Fbaby-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fbaby-translator",,,,,,,""
"/bad-translator","https://vibetrans.com/bad-translator","https://www.google.com/search?q=site:vibetrans.com%2Fbad-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fbad-translator",,,,,,,""
"/baybayin-translator","https://vibetrans.com/baybayin-translator","https://www.google.com/search?q=site:vibetrans.com%2Fbaybayin-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fbaybayin-translator",,,,,,,""
"/cantonese-translator","https://vibetrans.com/cantonese-translator","https://www.google.com/search?q=site:vibetrans.com%2Fcantonese-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fcantonese-translator",,,,,,,""
"/chinese-to-english-translator","https://vibetrans.com/chinese-to-english-translator","https://www.google.com/search?q=site:vibetrans.com%2Fchinese-to-english-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fchinese-to-english-translator",,,,,,,""
"/creole-to-english-translator","https://vibetrans.com/creole-to-english-translator","https://www.google.com/search?q=site:vibetrans.com%2Fcreole-to-english-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fcreole-to-english-translator",,,,,,,""
"/cuneiform-translator","https://vibetrans.com/cuneiform-translator","https://www.google.com/search?q=site:vibetrans.com%2Fcuneiform-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fcuneiform-translator",,,,,,,""
"/dog-translator","https://vibetrans.com/dog-translator","https://www.google.com/search?q=site:vibetrans.com%2Fdog-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fdog-translator",,,,,,,""
"/dumb-it-down-ai","https://vibetrans.com/dumb-it-down-ai","https://www.google.com/search?q=site:vibetrans.com%2Fdumb-it-down-ai","https://www.bing.com/search?q=site:vibetrans.com%2Fdumb-it-down-ai",,,,,,,""
"/esperanto-translator","https://vibetrans.com/esperanto-translator","https://www.google.com/search?q=site:vibetrans.com%2Fesperanto-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fesperanto-translator",,,,,,,""
"/gaster-translator","https://vibetrans.com/gaster-translator","https://www.google.com/search?q=site:vibetrans.com%2Fgaster-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fgaster-translator",,,,,,,""
"/gen-alpha-translator","https://vibetrans.com/gen-alpha-translator","https://www.google.com/search?q=site:vibetrans.com%2Fgen-alpha-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fgen-alpha-translator",,,,,,,""
"/gen-z-translator","https://vibetrans.com/gen-z-translator","https://www.google.com/search?q=site:vibetrans.com%2Fgen-z-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fgen-z-translator",,,,,,,""
"/gibberish-translator","https://vibetrans.com/gibberish-translator","https://www.google.com/search?q=site:vibetrans.com%2Fgibberish-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fgibberish-translator",,,,,,,""
"/high-valyrian-translator","https://vibetrans.com/high-valyrian-translator","https://www.google.com/search?q=site:vibetrans.com%2Fhigh-valyrian-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fhigh-valyrian-translator",,,,,,,""
"/ivr-translator","https://vibetrans.com/ivr-translator","https://www.google.com/search?q=site:vibetrans.com%2Fivr-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fivr-translator",,,,,,,""
"/middle-english-translator","https://vibetrans.com/middle-english-translator","https://www.google.com/search?q=site:vibetrans.com%2Fmiddle-english-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fmiddle-english-translator",,,,,,,""
"/minion-translator","https://vibetrans.com/minion-translator","https://www.google.com/search?q=site:vibetrans.com%2Fminion-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fminion-translator",,,,,,,""
"/pig-latin-translator","https://vibetrans.com/pig-latin-translator","https://www.google.com/search?q=site:vibetrans.com%2Fpig-latin-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fpig-latin-translator",,,,,,,""
"/samoan-to-english-translator","https://vibetrans.com/samoan-to-english-translator","https://www.google.com/search?q=site:vibetrans.com%2Fsamoan-to-english-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fsamoan-to-english-translator",,,,,,,""
"/verbose-generator","https://vibetrans.com/verbose-generator","https://www.google.com/search?q=site:vibetrans.com%2Fverbose-generator","https://www.bing.com/search?q=site:vibetrans.com%2Fverbose-generator",,,,,,,""
