Page,Full URL,Google Search URL,Bing Search URL,Google Indexed?,Bing Indexed?,Notes,Check Date
"/","https://vibetrans.com/","https://www.google.com/search?q=site%3Avibetrans.com%2F","https://www.bing.com/search?q=site%3Avibetrans.com%2F",,,,"2025-10-18"
"/about","https://vibetrans.com/about","https://www.google.com/search?q=site%3Avibetrans.com%2Fabout","https://www.bing.com/search?q=site%3Avibetrans.com%2Fabout",,,,"2025-10-18"
"/privacy","https://vibetrans.com/privacy","https://www.google.com/search?q=site%3Avibetrans.com%2Fprivacy","https://www.bing.com/search?q=site%3Avibetrans.com%2Fprivacy",,,,"2025-10-18"
"/terms","https://vibetrans.com/terms","https://www.google.com/search?q=site%3Avibetrans.com%2Fterms","https://www.bing.com/search?q=site%3Avibetrans.com%2Fterms",,,,"2025-10-18"
"/albanian-to-english","https://vibetrans.com/albanian-to-english","https://www.google.com/search?q=site%3Avibetrans.com%2Falbanian-to-english","https://www.bing.com/search?q=site%3Avibetrans.com%2Falbanian-to-english",,,,"2025-10-18"
"/al-bhed-translator","https://vibetrans.com/al-bhed-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fal-bhed-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fal-bhed-translator",,,,"2025-10-18"
"/alien-text-generator","https://vibetrans.com/alien-text-generator","https://www.google.com/search?q=site%3Avibetrans.com%2Falien-text-generator","https://www.bing.com/search?q=site%3Avibetrans.com%2Falien-text-generator",,,,"2025-10-18"
"/ancient-greek-translator","https://vibetrans.com/ancient-greek-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fancient-greek-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fancient-greek-translator",,,,"2025-10-18"
"/aramaic-translator","https://vibetrans.com/aramaic-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Faramaic-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Faramaic-translator",,,,"2025-10-18"
"/baby-translator","https://vibetrans.com/baby-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fbaby-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fbaby-translator",,,,"2025-10-18"
"/bad-translator","https://vibetrans.com/bad-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fbad-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fbad-translator",,,,"2025-10-18"
"/baybayin-translator","https://vibetrans.com/baybayin-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fbaybayin-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fbaybayin-translator",,,,"2025-10-18"
"/cantonese-translator","https://vibetrans.com/cantonese-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fcantonese-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fcantonese-translator",,,,"2025-10-18"
"/chinese-to-english-translator","https://vibetrans.com/chinese-to-english-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fchinese-to-english-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fchinese-to-english-translator",,,,"2025-10-18"
"/creole-to-english-translator","https://vibetrans.com/creole-to-english-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fcreole-to-english-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fcreole-to-english-translator",,,,"2025-10-18"
"/cuneiform-translator","https://vibetrans.com/cuneiform-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fcuneiform-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fcuneiform-translator",,,,"2025-10-18"
"/dog-translator","https://vibetrans.com/dog-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fdog-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fdog-translator",,,,"2025-10-18"
"/dumb-it-down-ai","https://vibetrans.com/dumb-it-down-ai","https://www.google.com/search?q=site%3Avibetrans.com%2Fdumb-it-down-ai","https://www.bing.com/search?q=site%3Avibetrans.com%2Fdumb-it-down-ai",,,,"2025-10-18"
"/esperanto-translator","https://vibetrans.com/esperanto-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fesperanto-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fesperanto-translator",,,,"2025-10-18"
"/gaster-translator","https://vibetrans.com/gaster-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fgaster-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fgaster-translator",,,,"2025-10-18"
"/gen-alpha-translator","https://vibetrans.com/gen-alpha-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fgen-alpha-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fgen-alpha-translator",,,,"2025-10-18"
"/gen-z-translator","https://vibetrans.com/gen-z-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fgen-z-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fgen-z-translator",,,,"2025-10-18"
"/gibberish-translator","https://vibetrans.com/gibberish-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fgibberish-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fgibberish-translator",,,,"2025-10-18"
"/high-valyrian-translator","https://vibetrans.com/high-valyrian-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fhigh-valyrian-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fhigh-valyrian-translator",,,,"2025-10-18"
"/ivr-translator","https://vibetrans.com/ivr-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fivr-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fivr-translator",,,,"2025-10-18"
"/middle-english-translator","https://vibetrans.com/middle-english-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fmiddle-english-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fmiddle-english-translator",,,,"2025-10-18"
"/minion-translator","https://vibetrans.com/minion-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fminion-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fminion-translator",,,,"2025-10-18"
"/pig-latin-translator","https://vibetrans.com/pig-latin-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fpig-latin-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fpig-latin-translator",,,,"2025-10-18"
"/samoan-to-english-translator","https://vibetrans.com/samoan-to-english-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fsamoan-to-english-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fsamoan-to-english-translator",,,,"2025-10-18"
"/verbose-generator","https://vibetrans.com/verbose-generator","https://www.google.com/search?q=site%3Avibetrans.com%2Fverbose-generator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fverbose-generator",,,,"2025-10-18"
